adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/3PieOs1t6dPHWlgvX3XoqTIQLqN.jpg,"[12, 28, 878]",507086,en,Jurassic World Dominion,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.",2083.754,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,2022-06-01,Jurassic World Dominion,False,7.1,3216
False,/odJ4hx6g6vBt4lBWKFD1tI8WS4x.jpg,"[28, 18]",361743,en,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",2029.875,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,2022-05-24,Top Gun: Maverick,False,8.4,3504
False,/pkLegAR3G5T63B2Xz2ijbD1BAm8.jpg,"[53, 27, 28]",927341,en,Hunting Ava Bravo,"Billionaire sportsman Buddy King unwinds by hunting human captives on his remote mountain estate. But his latest victim, Ava Bravo, is no easy target.",1714.811,/etc6HKBEhNySNnYU2nRgbSeIyoW.jpg,2022-04-01,Hunting Ava Bravo,False,6.4,42
False,/zlLQXKsSa2CEkz3UBFWPUPX90PN.jpg,[53],968857,en,Looks Can Kill,"A group of models is killed off, one by one, and everyone is a suspect.",1486.748,/1uy2PNFwtkqH3mhGd6irk5aeIrF.jpg,2022-02-01,Looks Can Kill,False,5.7,5
False,/mCAkUizRRIwKMOlne9CIoJ3utSc.jpg,"[53, 10770, 28]",951368,en,Your Boyfriend Is Mine,"Over the objection of his girlfriend, Ben agrees to take a job as the “live in” man servant to a wealthy businesswoman, Amanda, but quickly realizes he has made a deal with the devil, and has put himself and his girlfriend in mortal jeopardy",1413.258,/2OOYNZLKjdX8Z5KNyz7zZnHmodJ.jpg,2022-03-19,Your Boyfriend Is Mine,False,6.2,11
False,/6FbWhRR5B7OWVgzXuTkIFiaI2N3.jpg,"[28, 53]",848123,en,Black Site,"A group of officers based in a labyrinthine top-secret prison must fight for their lives against Hatchet, a brilliant and infamous high-value detainee. When he escapes, his mysterious and deadly agenda has far reaching and dire consequences.",1288.535,/ipn8khVVC4eToWiGf89WF9J5PJn.jpg,2022-05-05,Black Site,False,7.1,83
False,/wcKFYIiVDvRURrzglV9kGu7fpfY.jpg,"[14, 28, 12]",453395,en,Doctor Strange in the Multiverse of Madness,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",1176.221,/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,2022-05-04,Doctor Strange in the Multiverse of Madness,False,7.5,5620
False,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,"[28, 12, 878]",634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",1141.93,/uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg,2021-12-15,Spider-Man: No Way Home,False,8.0,15005
False,/jazlkwXfw4KdF6fVTRsolOvRCmu.jpg,[53],924482,en,The Ledge,"A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight-knit group of friends who will stop at nothing to destroy the evidence and anyone in their way. Desperate for her safety, she begins a treacherous climb up a mountain cliff and her survival instincts are put to the test when she becomes trapped with the killers just 20 feet away.",960.959,/dHKfsdNcEPw7YIWFPIhqiuWrSAb.jpg,2022-02-18,The Ledge,False,6.2,95
False,/hwUxHPkuUleJeoick4uZsrKDXxF.jpg,"[16, 878, 12, 28, 10751]",718789,en,Lightyear,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,931.254,/ox4goZd956BxqJH6iLwhWPL9ct4.jpg,2022-06-15,Lightyear,False,7.2,1983
False,/8wwXPG22aNMpPGuXnfm3galoxbI.jpg,"[28, 12, 10751, 35]",675353,en,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",914.789,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,2022-03-30,Sonic the Hedgehog 2,False,7.7,2925
False,/l99dylTOAMkwKSr54X5ytiEtnLA.jpg,"[14, 12, 28]",919355,en,Dragon Knight,"Many years after the war has been lost, and all the dragons slain, a lone knight travels the lands of Agonos seeking to raise an army against the demon lord Abaddon. When a healer's vision reveals that one dragon still lives, and together with an eager young squire, the knight sets off in search of the fabled creature. As the armies of Abaddon descend on the human kingdoms, the dragon is their last hope of fending off the horde, before it lays waste to the lands of men. But does the creature even exist? And if it does, will it fight for them once more?",797.178,/zkGFADykBtfPfTv7YJooxTH52ph.jpg,2022-03-21,Dragon Knight,False,6.8,27
False,/noCgyITVoRxC3huC9zSOQq23sVr.jpg,"[80, 53, 18]",821420,en,Catch the Fair One,A Native American boxer embarks on the fight of her life when she goes in search of her missing sister.,796.193,/35QvPu5nOGlzDIGOdvtRNNkfjLZ.jpg,2022-02-11,Catch the Fair One,False,6.7,25
False,/qViFGWCHaSmW4gP00RGh3xjMjsP.jpg,"[27, 9648]",758724,en,The Cellar,"When Keira Woods' daughter mysteriously vanishes in the cellar of their new house in the country, she soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever.",759.093,/rtfGeS5WMXA6PtikIYUmYTSbVdg.jpg,2022-03-25,The Cellar,False,6.6,217
