adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/ugS5FVfCI3RV0ZwZtBV3HAV75OX.jpg,"[16, 878, 28]",610150,ja,ドラゴンボール超 スーパーヒーロー,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",8753.85,/rugyJdeoJm7cSJL1q4jBpTNbxyU.jpg,2022-06-11,Dragon Ball Super: Super Hero,False,8.0,1294
False,/yaze6df9AMIA9oeDEbIZ4zOTRCJ.jpg,"[28, 12, 14]",960700,ja,鋼の錬金術師 完結編 復讐者スカー,The Elric brothers meet their toughest opponent yet — a lone serial killer with a large scar on his forehead.,3105.174,/14lQfkLDgEIrEtyUMfj5rJEKVlS.jpg,2022-05-20,Fullmetal Alchemist the Revenge of Scar,False,6.7,53
False,/3PieOs1t6dPHWlgvX3XoqTIQLqN.jpg,"[12, 28, 878]",507086,en,Jurassic World Dominion,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.",2083.754,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,2022-06-01,Jurassic World Dominion,False,7.1,3216
False,/odJ4hx6g6vBt4lBWKFD1tI8WS4x.jpg,"[28, 18]",361743,en,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",2029.875,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,2022-05-24,Top Gun: Maverick,False,8.4,3504
False,/i0Y0wP8H6SRgjr6QmuwbtQbS24D.jpg,"[28, 18]",579974,te,రౌద్రం రణం రుధిరం,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,1783.869,/nEufeZlyAOLqO2brrs0yeF1lgXO.jpg,2022-03-24,RRR,False,7.8,306
False,/zlLQXKsSa2CEkz3UBFWPUPX90PN.jpg,[53],968857,en,Looks Can Kill,"A group of models is killed off, one by one, and everyone is a suspect.",1486.748,/1uy2PNFwtkqH3mhGd6irk5aeIrF.jpg,2022-02-01,Looks Can Kill,False,5.7,5
False,/6FbWhRR5B7OWVgzXuTkIFiaI2N3.jpg,"[28, 53]",848123,en,Black Site,"A group of officers based in a labyrinthine top-secret prison must fight for their lives against Hatchet, a brilliant and infamous high-value detainee. When he escapes, his mysterious and deadly agenda has far reaching and dire consequences.",1288.535,/ipn8khVVC4eToWiGf89WF9J5PJn.jpg,2022-05-05,Black Site,False,7.1,83
False,/pkLegAR3G5T63B2Xz2ijbD1BAm8.jpg,"[53, 27, 28]",927341,en,Hunting Ava Bravo,"Billionaire sportsman Buddy King unwinds by hunting human captives on his remote mountain estate. But his latest victim, Ava Bravo, is no easy target.",1714.811,/etc6HKBEhNySNnYU2nRgbSeIyoW.jpg,2022-04-01,Hunting Ava Bravo,False,6.4,42
False,/mCAkUizRRIwKMOlne9CIoJ3utSc.jpg,"[53, 10770, 28]",951368,en,Your Boyfriend Is Mine,"Over the objection of his girlfriend, Ben agrees to take a job as the “live in” man servant to a wealthy businesswoman, Amanda, but quickly realizes he has made a deal with the devil, and has put himself and his girlfriend in mortal jeopardy",1413.258,/2OOYNZLKjdX8Z5KNyz7zZnHmodJ.jpg,2022-03-19,Your Boyfriend Is Mine,False,6.2,11
False,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,"[28, 12, 878]",634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",1141.93,/uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg,2021-12-15,Spider-Man: No Way Home,False,8.0,15005
